S.No,L,W,F,S11
451,19.44,29.46,3.61,-20.98065322
452,19.84,29.46,3.55,-21.83641616
453,20.24,29.46,3.48,-23.94569916
454,20.64,29.46,3.43,-24.59556731
455,21.04,29.46,3.37,-25.18707453
456,21.44,29.46,3.31,-25.88866151
457,21.84,29.46,4.7,-28.23115244
458,22.24,29.46,4.69,-35.75370779
459,22.64,29.46,4.69,-30.27998615
460,23.04,29.46,4.68,-24.68892065
461,23.44,29.46,4.68,-21.86087862
462,23.84,29.46,4.68,-19.24659822
463,24.24,29.46,4.67,-17.43713331
464,24.64,29.46,4.67,-16.04397651
465,25.04,29.46,4.66,-14.60561154
466,25.44,29.46,4.66,-13.5586156
467,25.84,29.46,4.66,-12.40416876
468,26.24,29.46,4.65,-11.3668515
469,16.24,29.86,3.3,-37.44094348
470,16.64,29.86,4.08,-10.32380903
471,17.04,29.86,4.02,-11.9350121
472,17.44,29.86,3.96,-13.76100906
473,17.84,29.86,3.88,-14.8313167
474,18.24,29.86,3.82,-16.26581021
475,18.64,29.86,3.74,-16.88644897
476,19.04,29.86,3.67,-18.28887268
477,19.44,29.86,3.61,-19.22619349
478,19.84,29.86,3.54,-20.03000484
479,20.24,29.86,3.48,-21.37498459
480,20.64,29.86,3.42,-23.78090714
481,21.04,29.86,3.36,-23.13971458
482,21.44,29.86,3.31,-23.01891018
483,21.84,29.86,4.64,-25.47615511
484,22.24,29.86,4.64,-31.83409719
485,22.64,29.86,4.63,-36.00624171
486,23.04,29.86,4.63,-28.22058386
487,23.44,29.86,4.62,-23.51380574
488,23.84,29.86,4.62,-21.12366412
489,24.24,29.86,4.62,-18.89785018
490,24.64,29.86,4.61,-17.36376226
491,25.04,29.86,4.61,-15.89880289
492,25.44,29.86,4.61,-14.58846479
493,25.84,29.86,4.6,-13.38506633
494,26.24,29.86,4.6,-12.37212511
495,16.24,30.26,3.3,-37.44094348
496,16.64,30.26,4.1,-10.20386712
497,17.04,30.26,4.02,-11.38323686
498,17.44,30.26,3.94,-12.48275621
499,17.84,30.26,3.87,-13.80797716
500,18.24,30.26,3.8,-14.87845461
501,18.64,30.26,3.74,-16.03779576
502,19.04,30.26,3.67,-16.96567987
503,19.44,30.26,3.6,-17.76826921
504,19.84,30.26,3.54,-18.8687614
505,20.24,30.26,3.48,-20.20337198
506,20.64,30.26,3.42,-21.68922836
507,21.04,30.26,3.36,-22.3895944
508,21.44,30.26,3.3,-21.63153896
509,21.84,30.26,4.59,-23.60397818
510,22.24,30.26,4.58,-29.6332905
511,22.64,30.26,4.58,-35.28600803
512,23.04,30.26,4.57,-30.50221864
513,23.44,30.26,4.57,-26.30136981
514,23.84,30.26,4.56,-23.25251395
515,24.24,30.26,4.56,-20.72802802
516,24.64,30.26,4.56,-18.75192619
517,25.04,30.26,4.55,-17.17030177
518,25.44,30.26,4.55,-15.91532439
519,25.84,30.26,4.55,-14.57316924
520,26.24,30.26,4.54,-13.47937107
521,16.24,30.66,3.3,-37.44094348
522,16.64,30.66,4.09,-9.189019187
523,17.04,30.66,4.02,-10.22416166
524,17.44,30.66,3.93,-11.23008001
525,17.84,30.66,3.87,-12.77350909
526,18.24,30.66,3.8,-13.947982
527,18.64,30.66,3.73,-14.92215848
528,19.04,30.66,3.66,-15.87833771
529,19.44,30.66,3.6,-16.85615064
530,19.84,30.66,3.53,-18.1026887
531,20.24,30.66,3.47,-19.12387967
532,20.64,30.66,3.41,-20.07353405
533,21.04,30.66,3.36,-20.13103498
534,21.44,30.66,3.3,-20.70657183
535,21.84,30.66,4.53,-21.61052156
536,22.24,30.66,4.53,-25.89754619
537,22.64,30.66,4.52,-30.44564256
538,23.04,30.66,4.52,-44.66830024
539,23.44,30.66,4.51,-28.67641271
540,23.84,30.66,4.51,-25.69345404
541,24.24,30.66,4.51,-22.78540889
542,24.64,30.66,4.5,-19.99445922
543,25.04,30.66,4.5,-18.7077641
544,25.44,30.66,4.49,-17.04928651
545,25.84,30.66,4.49,-15.72799188
546,26.24,30.66,4.49,-14.57025182
547,16.24,31.06,3.3,-37.44094348
548,16.64,31.06,4.09,-8.165320925
549,17.04,31.06,4,-9.416933589
550,17.44,31.06,3.92,-10.44901785
551,17.84,31.06,3.87,-11.68684844
552,18.24,31.06,3.79,-12.81443382
553,18.64,31.06,3.73,-13.93042433
554,19.04,31.06,3.66,-14.98815258
555,19.44,31.06,3.59,-16.1037085
556,19.84,31.06,3.53,-17.17312493
557,20.24,31.06,3.47,-18.14541308
558,20.64,31.06,3.41,-18.68755056
559,21.04,31.06,3.35,-19.2340454
560,21.44,31.06,3.3,-19.06799078
561,21.84,31.06,4.48,-20.39719329
562,22.24,31.06,4.48,-23.79213439
563,22.64,31.06,4.47,-27.91578292
564,23.04,31.06,4.47,-30.12102472
565,23.44,31.06,4.46,-31.1913786
566,23.84,31.06,4.46,-29.43702772
567,24.24,31.06,4.45,-24.33445421
568,24.64,31.06,4.45,-22.67316118
569,25.04,31.06,4.45,-20.46291234
570,25.44,31.06,4.45,-18.36878771
571,25.84,31.06,4.44,-17.03122303
572,26.24,31.06,4.44,-15.64417761
573,16.24,31.46,3.3,-37.44094348
574,16.64,31.46,4.58,-7.942042822
575,17.04,31.46,4.57,-8.467361564
576,17.44,31.46,3.91,-9.421106449
577,17.84,31.46,3.87,-10.85459855
578,18.24,31.46,3.79,-11.91474534
579,18.64,31.46,3.72,-13.05777831
580,19.04,31.46,3.66,-13.8934951
581,19.44,31.46,3.59,-15.09545417
582,19.84,31.46,3.53,-15.88272868
583,20.24,31.46,3.47,-16.8399611
584,20.64,31.46,3.41,-17.75368882
585,21.04,31.46,3.35,-18.07717966
586,21.44,31.46,3.29,-17.92641851
587,21.84,31.46,4.43,-19.12332566
588,22.24,31.46,4.43,-21.48908308
589,22.64,31.46,4.42,-25.31205986
590,23.04,31.46,4.41,-27.74691076
591,23.44,31.46,4.41,-35.45175187
592,23.84,31.46,4.41,-33.39938006
593,24.24,31.46,4.4,-28.56290755
594,24.64,31.46,4.4,-24.86168766
595,25.04,31.46,4.4,-22.10857361
596,25.44,31.46,4.39,-20.21820508
597,25.84,31.46,4.39,-18.66961395
598,26.24,31.46,4.39,-17.04841885
599,16.24,31.86,3.3,-37.44094348
600,16.64,31.86,4.53,-7.790205528
601,17.04,31.86,4.52,-8.363827617
602,17.44,31.86,4.52,-8.927424253
603,17.84,31.86,3.84,-9.767816126
604,18.24,31.86,3.78,-11.02247083
605,18.64,31.86,3.72,-12.1685778
606,19.04,31.86,3.65,-13.01671762
607,19.44,31.86,3.59,-14.12887868
608,19.84,31.86,3.53,-14.79568671
609,20.24,31.86,3.46,-15.84018829
610,20.64,31.86,3.4,-17.31778693
611,21.04,31.86,3.35,-17.0390373
612,21.44,31.86,3.29,-17.28633582
613,21.84,31.86,4.38,-18.0249612
614,22.24,31.86,4.37,-20.14847045
615,22.64,31.86,4.37,-22.79510663
616,23.04,31.86,4.36,-25.6222331
617,23.44,31.86,4.36,-31.47161563
618,23.84,31.86,4.36,-37.0021003
619,24.24,31.86,4.36,-30.83278676
620,24.64,31.86,4.35,-28.60757477
621,25.04,31.86,4.35,-24.48243084
622,25.44,31.86,4.34,-22.12616208
623,25.84,31.86,4.34,-20.39693063
624,26.24,31.86,4.34,-18.56841594
625,16.24,32.26,3.3,-37.44094348
626,16.64,32.26,4.5,-7.802458096
627,17.04,32.26,4.48,-8.257492945
628,17.44,32.26,4.46,-8.538752765
629,17.84,32.26,4.46,-9.216114075
630,18.24,32.26,3.78,-10.26188402
631,18.64,32.26,3.71,-11.3459356
632,19.04,32.26,3.65,-12.30852976
633,19.44,32.26,3.59,-13.09319698
634,19.84,32.26,3.52,-14.23584801
635,20.24,32.26,3.46,-15.18086353
636,20.64,32.26,3.4,-15.95038215
637,21.04,32.26,3.34,-16.12659255
638,21.44,32.26,3.29,-16.23866668
639,21.84,32.26,4.33,-17.02873223
640,22.24,32.26,4.32,-18.87550588
641,22.64,32.26,4.32,-21.29008151
642,23.04,32.26,4.32,-23.4246606
643,23.44,32.26,4.31,-26.47479546
644,23.84,32.26,4.31,-31.37677976
645,24.24,32.26,4.31,-31.73286858
646,24.64,32.26,4.3,-34.21058301
647,25.04,32.26,4.3,-27.73626194
648,25.44,32.26,4.3,-24.26502529
649,25.84,32.26,4.29,-22.56183863
650,26.24,32.26,4.29,-20.43151796
651,16.24,32.66,3.3,-37.44094348
652,16.64,32.66,4.45,-7.668328134
653,17.04,32.66,4.43,-7.988643294
654,17.44,32.66,4.42,-8.555689339
655,17.84,32.66,4.41,-9.03068521
656,18.24,32.66,4.4,-9.628820599
657,18.64,32.66,3.71,-10.62842792
658,19.04,32.66,3.64,-11.58022214
659,19.44,32.66,3.58,-12.54479954
660,19.84,32.66,3.52,-13.22445974
661,20.24,32.66,3.46,-14.20996471
662,20.64,32.66,3.4,-14.95145316
663,21.04,32.66,3.34,-15.64618535
664,21.44,32.66,3.28,-15.55472333
665,21.84,32.66,4.28,-16.104311
