L_actual,L_predicted,W_actual,W_predicted,F_actual,F_predicted,S11_actual,S11_predicted
19.44,19.615926380907695,23.86,26.563450838046265,3.61,3.4650214161679287,-18.17922161,-17.07695603542379
19.84,20.048185773002842,23.86,26.206175826097024,3.55,3.4210031692723533,-17.79463352,-16.660363856091863
20.24,20.496755318161377,23.86,27.228768233340816,3.48,3.5579357101755704,-17.13954216,-15.049963612662395
20.64,20.841696403409514,23.86,26.041110640464467,3.43,3.6485853038843743,-16.70468649,-16.37443453303422
21.04,21.106870192319548,23.86,26.482145275353105,3.37,3.2241989982662744,-17.28989257,-16.167906793620205
21.44,21.17272522064559,23.86,23.816701362098684,3.27,3.26038882468265,-5.183380193,-5.858300471183611
21.84,21.827558985385622,23.86,23.30661555561528,3.21,3.1490876181937892,-4.999261389,-4.434611154167214
22.24,22.33314016980694,23.86,23.240706942116958,3.15,3.123184527322792,-4.92201858,-3.045108078600606
22.64,22.794610393399125,23.86,23.421439538084087,3.09,3.0768239485273625,-4.857502555,-1.8128089656529482
23.04,23.22245360757188,23.86,23.816418788584997,3.03,3.0192713543451646,-4.807712546,-0.9614343839639332
23.44,23.565597069549767,23.86,23.584296580360387,2.98,2.9768198055257926,-4.785569381,-2.2477315667492803
23.84,23.909875668401583,23.86,23.58021769482002,2.93,2.912053134672078,-4.761343387,-3.374186068511335
24.24,24.26480157016158,23.86,23.73730239593715,2.88,2.837482321135667,-4.740720529,-4.379107909364393
24.64,24.56743609217483,23.86,23.644057250538026,2.84,2.768789405935877,-4.730633292,-5.396833035367308
25.04,24.990912903942444,23.86,23.96825808317226,2.79,2.714763315570508,-4.733358291,-5.838794715149561
25.44,25.372252454972113,23.86,24.089605486093205,2.75,2.6596876799535494,-4.737931827,-5.68758985408931
25.84,25.789934197577168,23.86,24.097224416400422,2.71,2.5849241263290423,-4.733906489,-5.276470170443645
26.24,26.2565812699886,23.86,23.76085406130005,2.67,2.4981008750050933,-4.726043074,-5.0937362875265535
16.24,16.760571419965345,24.26,24.56244187663833,4.18,4.16417796860469,-23.32835112,-25.825899886520347
16.64,16.660772716624706,24.26,23.78008961114392,4.12,4.191563527479502,-22.75719307,-23.682256700092694
17.04,16.693826720276775,24.26,24.12526465121482,4.04,4.1485016392412035,-22.04463293,-23.23940355805098
17.44,16.64572471509564,24.26,24.831681230585673,3.96,4.097138063052171,-21.04597109,-23.082042892900063
17.84,17.430458817076214,24.26,25.547385125028086,3.88,3.923052788451514,-20.96921035,-22.975165809941245
18.24,17.998230415278158,24.26,25.775892205143464,3.81,3.749009436950928,-20.66655901,-22.02071646551485
18.64,18.47334552544453,24.26,26.152795127782156,3.74,3.6206191965261496,-20.15407916,-21.102866145520238
19.04,18.9031036528595,24.26,26.707642139939708,3.67,3.569462708802803,-19.47571131,-20.05550240338198
19.44,19.49944633037194,24.26,27.369052314796136,3.6,3.490295881734255,-19.04107087,-18.684487541991984
19.84,20.03642414197202,24.26,27.114826450197143,3.54,3.3988281606521014,-18.74706906,-17.877664241561433
20.24,20.4307060055271,24.26,27.122737520505325,3.48,3.567801698468884,-17.9189868,-17.270879144169157
20.64,20.956766136992883,24.26,27.27708911175432,3.42,3.65298476765156,-17.45021846,-16.712832089251606
21.04,21.425885207469037,24.26,27.812033410198637,3.36,3.3599112961542232,-17.89407471,-16.05313389757066
21.44,21.130604965537714,24.26,24.04862962134939,3.27,3.2696399651263164,-5.308409098,-7.8442125935980584
21.84,21.878834734698103,24.26,24.629992182788556,3.2,3.1803778918197168,-5.136171723,-3.5865789530507755
22.24,22.4018469859202,24.26,24.54151020986319,3.14,3.145991670143758,-5.049957903,-1.938788326078793
22.64,22.80229608782065,24.26,23.699020659390953,3.09,3.097816589944614,-4.981416215,-2.8805255140468944
23.04,23.238384012509414,24.26,24.093086688386393,3.03,3.0292240690992003,-4.920504029,-1.6110654137155507
23.44,23.58063362325447,24.26,23.82991478285112,2.98,2.968393742632088,-4.883500108,-2.56133164736093
23.84,23.920597607333548,24.26,23.872575035740738,2.93,2.9272272958783105,-4.873052505,-3.383456998009933
24.24,24.271868805661143,24.26,24.05882877561089,2.88,2.862713752745094,-4.855797643,-4.129517736408161
24.64,24.64442208751825,24.26,24.29924092949659,2.83,2.7874972822187374,-4.838648409,-4.9355241651355755
25.04,24.979275819232498,24.26,24.299815439924714,2.79,2.734684178410589,-4.840221553,-5.528255797253223
25.44,25.341118570167964,24.26,24.39617647435807,2.75,2.6623318297729384,-4.833196961,-5.653499116568128
25.84,25.8560427201719,24.26,24.195708377010305,2.7,2.5855958266270136,-4.82659056,-6.5744431914936285
26.24,26.227095024090886,24.26,24.174253201883403,2.67,2.536525425655327,-4.837883663,-6.0739164980186615
16.24,17.087145090217746,24.66,24.57016051300161,4.19,4.18402885095702,-25.91398038,-26.698931216349592
16.64,16.81841983130107,24.66,24.231170507860952,4.11,4.229601622575046,-24.58468301,-26.219234537653392
17.04,16.913019249737772,24.66,24.951171030072146,4.02,4.177074209067996,-23.7228719,-26.909694652742473
17.44,17.241508962162698,24.66,24.972290859688655,3.95,4.045429863779191,-23.31114503,-25.831189952645218
17.84,17.644920379794712,24.66,25.10801038374484,3.88,3.8748568200330737,-22.88557111,-24.886664279008983
18.24,18.00373319219034,24.66,26.138281262901728,3.8,3.746733228771973,-22.0635023,-24.623040833714185
18.64,18.450535307621976,24.66,26.600760279994574,3.73,3.6089555179146373,-21.46327338,-23.520602304924978
19.04,18.767921672506418,24.66,26.34410470702278,3.67,3.536607851057397,-20.71684578,-22.390509971621213
19.44,19.38372404117945,24.66,27.01591844264476,3.6,3.4383789836151664,-20.26673096,-21.14188508313964
19.84,19.870426489387683,24.66,26.902022321839468,3.54,3.4144243905770963,-19.70666621,-20.359123020636616
